number,message
3,"Привет! Я обнаружил, что при использовании вашей функции поиска, результаты отображаются в неправильном порядке. Нужно отсортировать их правильно."
9,"Добрый день, я оплатил подписку, но не могу войти в свой аккаунт. Пожалуйста, помогите решить эту проблему."
10,"решением проблемы могло бы быть копирование в ворд с сохранением изменненого текста, тогда хоть как то удобно, а так копирую текст в ворд и там правлю смотрю еще в браузер, вообщем взрыв мозга"
12,"Приветствую! Мне не удается изменить пароль в своем аккаунте. Каждый раз, когда пытаюсь сохранить новый пароль, появляется ошибка. Что происходит? Мне нужно обновить пароль по соображениям безопасности."
13,"здарова! я тут пользуюсь вашим сервисом, но у меня проблемка. каковы лимиты по символам? мне надо больше писать!"
14,"Здравствуйте, сайт работает некорректно, некоторые функции не открываются. Прошу исправить проблему."
16,"Здравствуйте, у меня возникла проблема с отображением текста на вашем сервисе. Некоторые символы исказились и выглядят неправильно. Пожалуйста, посмотрите, что происходит, и исправьте это."
18,"Привет! Я забыл свой пароль и пытался восстановить его через отправку на почту, но не получил ни одного письма. У меня есть срочная необходимость в доступе к своему аккаунту. Пожалуйста, исправьте эту проблему."
21,"Здравствуйте, у меня возникла проблема с вашим сервисом, и я просто не понимаю, как вы могли такую хрень выпустить. Какой толк от подписки, если ничего не работает? Очень разочарован!"
25,"Хотелось бы попросить выйти со всех авторизированных устройств, тк забыла выйти не на своем компьютере. Чтобы другие люди не пользовались моей подпиской."
28,"Привет, я случайно заблокировал свой аккаунт, пытаясь ввести неправильный пароль несколько раз. Не могли бы вы разблокировать его и отправить мне новый пароль? Извините за доставленные неудобства."
31,"Здравствуйте, некоторые ссылки на вашем сайте не работают. Когда я нажимаю на них, происходит перенаправление на неправильную страницу. Необходимо исправить эту проблему."
44,"Здравствуйте, у меня тут проблема с вашим сервисом. Он глючит постоянно, и это меня бесит. Когда наконец вы исправите эту дерьмовую ошибку?"
55,"Здравствуйте, при попытке смены пароля возникает сообщение об ошибке, и я не могу войти в свой аккаунт. Это создает серьезные проблемы с безопасностью. Прошу вас исправить эту ошибку как можно скорее."
58,Приветствую! Я забыл свой логин и пароль от аккаунта. Можете ли вы помочь мне и восстановить доступ к моей учетной записи?
61,"Добрый день! Я преподаватель и ищу инструмент, который поможет моим студентам автоматически проверять тексты на орфографические и грамматические ошибки. Подскажите, есть ли у вашего сервиса функция проверки текста на ошибки и предоставления рекомендаций по исправлению?"
62,"Добрый день, я пытаюсь загрузить файлы на вашу платформу, но получаю ошибку каждый раз. Я уже потратил много времени на это, и это становится невыносимо. Что вы собираетесь предпринять, чтобы исправить эту проблему?"
65,"Добрый день, некоторые изображения на вашем сайте не отображаются, вместо них показывается ошибочное изображение. Просьба исправить эту проблему."
69,"Здравствуйте, Высвечивается ошибка ""привет, произошел сбой у провайдера! сейчас узнаем в чем дело и все заработает. приносим извинения!"""
83,"Добрый день, ваше обновление поломало функционал! То, что раньше работало отлично, теперь вызывает ошибки и некорректное отображение. Когда вы исправите этот баг и вернете все в порядок?"
87,"Здравствуйте! Пару дней назад оформила у вас подписку на месяц, так как осталась довольна перефразированием текста. Все работало хорошо, однако сегодня весь день сайт выдает сбой у провайдера. Хотелось бы побыстрее закончить свою работу. Очень надеюсь на оперативное решение проблемы. Спасибо!"
95,"Привет! Я не знаю, что за хрень происходит, но ваш сайт работает как говно. Я пытаюсь сделать простую операцию, а он валится с ошибкой. Ну серьезно, когда вы наконец почините эту дерьмовую штуку?"
113,"Добрый день, при попытке сохранить изменения в моем профиле, возникает ошибка ""Не удалось обновить данные"". Прошу вас исправить этот баг."
114,"Здравствуйте! Забыла свой пароль, а где его восстановить - не вижу. Подскажите, пожалуйста. Сервис нравится, хотелось бы пользоваться постоянно. С уважением, Виолетта."
121,"Здравствуйте, при использовании определенной функции сервис выдает ошибку ""Не удалось сохранить изменения"". Это мешает мне выполнить необходимые действия. Необходимо исправить этот баг."
138,"Здравствуйте, сервис периодически выдает ошибку 500 ""Внутренняя ошибка сервера"". Это создает неудобства при работе. Пожалуйста, исправьте эту проблему."
139,"Здравствуйте! Подскажите, у вас есть функция проверки текста на орфографические ошибки и предоставления рекомендаций по исправлению?"
142,"Здравствуйте, я уже несколько раз обращался в службу поддержки с проблемой, но так и не получил должного решения. Ваш сервис непригоден к использованию, и я требую полного возврата денег. Это абсолютно неприемлемо!"
147,"Доброго времени суток! Ваш сервис полный отстой. Каждый раз, когда я пытаюсь сделать что-то, он лагает и выдает ошибку. Это просто пипец! Вам нужно нанять нормальных программистов или закрыть этот бардак!"
150,"Здравствуйте! Я уже несколько раз пытался войти в свой аккаунт, но каждый раз получаю ошибку ""Неверное имя пользователя или пароль"". Что за фигня происходит? Неужели вы не можете сделать нормальную авторизацию?"
152,"Привет, уже несколько дней у меня возникает проблема с загрузкой файлов на вашем сервисе. Они просто не загружаются и происходит сбой. Пожалуйста, проверьте и исправьте эту ошибку."
160,"Привет, я забыл свой логин и пароль. Как мне их восстановить?"
168,"Здравствуйте! Не могу восстановить пароль, так как на странице восстановления постоянно возникает ошибка. Это какая-то поломка в системе? Пожалуйста, помогите решить проблему."
