number,message
5,"Здравствуйте, я случайно оформил подписку, не полностью понимая ее условия. Я хотел бы отменить ее и получить возврат средств."
9,"Добрый день, я оплатил подписку, но не могу войти в свой аккаунт. Пожалуйста, помогите решить эту проблему."
19,"здравствуйте! есть ли возможность оплатить сервис через банковское приложение, используя QR-код или номер счета?"
27,"Оплатила подписку, не заходит на аккаунт"
34,привет! есть ли у вас возможность оплаты наличными при личной встрече или в офисе компании?
41,Добрый день у нас кончился объем символов можно ли докупать дополнительные? мы оплатили тариф на год сразу
46,добрый день! можно ли оплатить сервис через мобильное приложение вашей компании?
50,"Я оплатив підписку лише на місяць, чому у мене знову відняло гроші? Я не планував продлювати підписку і користуватися цим додатком"
52,"Добрый день! Скажите, каким образом в следующий раз можно будет оплатить сервис по безналу через юрлицо?"
56,"привет! я оплатила подписку, но не получила доступ к сервису. могли бы вы вернуть мои деньги?"
59,"Добрый день, я оплатил подписку, но не могу получить доступ к необходимым мне функциям. Я хочу отказаться от подписки и вернуть деньги."
63,Здравствуйте! Ранее писала вам о возврате средств также хочу чтобы вы удалили все мои персональные данные ( написано в условиях обработки персональными данными) и отвязали мою карту от вашего сайта. Я НЕ ХОЧУ повторного списания и не знала что оплата взимается автоматически за продление( нигде об этом сказано не было!) И снова прошу возврат денежных средств.
67,"Здравствуйте, сегодня были списаны деньги за подписку, но я больше не нуждаюсь в ней. Могу ли я получить возврат средств?"
97,"Здравствуйте, мне было обещано определенное количество услуг в рамках подписки, но я не получил их. Я хочу отказаться от подписки и получить полный возврат средств."
99,"Добрый день, я был подписан на вашу услугу без моего разрешения. Я хочу отказаться от подписки и получить полный возврат средств."
101,добрый день! можно ли оплатить сервис через банковский чек или перевод с расчетного счета?
104,"здравствуйте! подскажите, можно ли оплатить ваш сервис через международный банковский перевод?"
105,"приветствую! подскажите, принимаете ли вы оплату через банковскую карту Visa или Mastercard?"
106,Привет! Я неудачно подписался на вашу услугу и хочу отказаться от нее. Я могу рассчитывать на возврат средств?
108,"привет! подскажите, можно ли оформить подписку на ваш сервис и оплатить ее через систему рассрочки или кредит?"
112,доброго времени суток! есть ли у вас опции оплаты через мобильные операторы или сервисы мобильной связи?
117,"Здравствуйте,у меня сняли деньги за подписку,прошу вернуть средства так как продление подписки не было согласовано со мной, я не нажимала нигде чтобы подписка продлилась автоматически. Прошу вернуть мои 499₽"
118,"здравствуйте! у вас есть поддержка оплаты через системы электронных кошельков, например, Apple Pay или Google Pay?"
119,"добрый день! есть ли возможность оплатить сервис с помощью электронных платежных систем, таких как WebMoney или Yandex.Money?"
120,привет! можно ли оплатить ваш сервис с помощью банковского перевода?
123,доброго времени суток! можно ли оплатить ваш сервис через SMS-платежи?
126,Приветствую! Я случайно активировал подписку и не могу ее отменить. Не могли бы вы помочь мне с возвратом средств?
133,здравствуйте! есть ли у вас возможность автоматического списания средств с банковской карты каждый месяц?
145,"Здравствуйте, оплатил подписку, а она не активизировалась. Просит снова преобрести подписку для использования услуг сайта"
158,"привет! можно ли оплатить ваш сервис с помощью криптовалюты, например, Bitcoin или Ethereum?"
163,"здравствуйте! подскажите, принимаете ли вы платежи через PayPal?"
170,"Добрый день! У нас закончились лимиты, а до следующего месяца еще долго ждать (4 апреля). Подскажите я могу оплатить снова подписку ($10) и таким образом обновить лимиты в рамках данного аккаунта или мне нужно регистрировать новый аккаунт?"
173,"Приветствую! Я был подписан на вашу услугу автоматически, но не хочу продолжать использовать ее. Как мне вернуть оплату?"
