number,message
5,"Здравствуйте, я случайно оформил подписку, не полностью понимая ее условия. Я хотел бы отменить ее и получить возврат средств."
6,"добрый день, я не доволен качеством вашего сервиса и хотел бы отказаться от подписки. как вернуть деньги?"
8,"Здравствуйте, я хотел бы отказаться от подписки и получить возврат денег, так как услуга не соответствует моим ожиданиям."
20,"Привет, я изменил свое решение относительно подписки и хотел бы ее отменить. Как получить возврат денег?"
22,"Здравствуйте, я не осознавал, что подписка будет продлеваться автоматически. Могу ли я получить свои деньги назад?"
49,"Добрый день! Как я могу отписаться от автопродления подписки? Хочу убедиться, что мне не будут автоматически списываться деньги после окончания текущего периода подписки."
56,"привет! я оплатила подписку, но не получила доступ к сервису. могли бы вы вернуть мои деньги?"
59,"Добрый день, я оплатил подписку, но не могу получить доступ к необходимым мне функциям. Я хочу отказаться от подписки и вернуть деньги."
63,Здравствуйте! Ранее писала вам о возврате средств также хочу чтобы вы удалили все мои персональные данные ( написано в условиях обработки персональными данными) и отвязали мою карту от вашего сайта. Я НЕ ХОЧУ повторного списания и не знала что оплата взимается автоматически за продление( нигде об этом сказано не было!) И снова прошу возврат денежных средств.
64,"привет, я неудачно подписался на вашу услугу и не могу ее отменить. как получить деньги назад?"
66,"Приветствую, я не получаю достаточную пользу от вашей подписки и хотел бы ее отменить. Как я могу получить возврат денег?"
67,"Здравствуйте, сегодня были списаны деньги за подписку, но я больше не нуждаюсь в ней. Могу ли я получить возврат средств?"
68,"Здравствуйте, я случайно продлил подписку на ваш сервис. Могу ли я отменить ее и вернуть деньги?"
74,"доброго времени суток! я платил за подписку, но она не сработала. хотелось бы вернуть деньги обратно."
75,"Я не хочу, чтобы у меня списывались деньги в следующий месяц, как можно удалить свою карту?"
76,"Добрый день, я случайно оформил подписку и хочу ее отменить. Пожалуйста, помогите вернуть мне деньги."
82,"добрый вечер, я хочу отключить автопродление подписки. как это сделать, чтоб не списывались деньги?"
84,"Добрый вечер, я случайно активировал подписку, но не хочу использовать ваш сервис. Пожалуйста, верните мне деньги."
89,"Добрый день, я не удовлетворен качеством вашего сервиса и хотел бы отменить подписку. Как получить деньги обратно?"
93,"Здравствуйте.Произошло списание за подписку,599 руб.Забыла отменить автопродление подписки. В ней больше не нуждаюсь. Просьба вернуть деньги !"
97,"Здравствуйте, мне было обещано определенное количество услуг в рамках подписки, но я не получил их. Я хочу отказаться от подписки и получить полный возврат средств."
99,"Добрый день, я был подписан на вашу услугу без моего разрешения. Я хочу отказаться от подписки и получить полный возврат средств."
106,Привет! Я неудачно подписался на вашу услугу и хочу отказаться от нее. Я могу рассчитывать на возврат средств?
117,"Здравствуйте,у меня сняли деньги за подписку,прошу вернуть средства так как продление подписки не было согласовано со мной, я не нажимала нигде чтобы подписка продлилась автоматически. Прошу вернуть мои 499₽"
122,Хочу вернуть деньги за подписку на месяц. Сервис не работает. Кнопка уникальности врёт.
126,Приветствую! Я случайно активировал подписку и не могу ее отменить. Не могли бы вы помочь мне с возвратом средств?
131,"здравствуйте, я случайно активировал пробную подписку, а она мне не нужна. можно вернуть деньги?"
134,Сегодня списали деньги. Но я не хочу больше пользоваться подпиской. Просьба вернуть деньги и отключить подписку!
142,"Здравствуйте, я уже несколько раз обращался в службу поддержки с проблемой, но так и не получил должного решения. Ваш сервис непригоден к использованию, и я требую полного возврата денег. Это абсолютно неприемлемо!"
148,"Здравствуйте, я не хочу, чтобы у меня списывались деньги в следующий месяц. Как я могу удалить свою карту и отменить подписку?"
156,"Привет! Я случайно продлил подписку на вашу услугу, но мне не нужно ее использовать. Пожалуйста, верните мне деньги."
157,"Здравствуйте, я потерял доступ к аккаунту, но деньги все равно были списаны за подписку. Я могу рассчитывать на возврат?"
161,"Здравствуйте, я не был уведомлен о продлении подписки и не хочу платить за услугу, которую больше не использую. Хотелось бы вернуть деньги."
165,"здравствуйте, не хочу продолжать использовать вашу подписку. можно отменить и вернуть деньги?"
166,"Добрый день, я уже отменил подписку, но мои деньги все равно были списаны. Как я могу получить возврат?"
171,"Привет, я тут уже столько времени потратил, пытаясь разобраться с вашим сервисом. Все у вас поломано! Я пишу вам, чтобы вы починили эту хрень и вернули мне мои нервы!"
173,"Приветствую! Я был подписан на вашу услугу автоматически, но не хочу продолжать использовать ее. Как мне вернуть оплату?"
175,Привет! я не хочу больше платить за эту подписку. как ее отменить и деньги вернуть?
