number,message
1,"Здравствуйте! Я заметил, что ваш сервис предоставляет возможность суммаризации текстов. Однако, интересует меня, можно ли также применять его для сжатия аудиозаписей или видеофайлов? Мне было бы очень удобно иметь такую функциональность."
3,"Привет! Я обнаружил, что при использовании вашей функции поиска, результаты отображаются в неправильном порядке. Нужно отсортировать их правильно."
14,"Здравствуйте, сайт работает некорректно, некоторые функции не открываются. Прошу исправить проблему."
30,"Приветствую! Я недавно начал использовать ваш сервис и хотел бы узнать, есть ли у вас функция автоматического распознавания и извлечения ключевых фраз из текстовых документов? Мне это очень поможет в сокращении времени на анализ больших объемов информации."
57,"Добрый день! Я активный пользователь вашего сервиса и очень доволен его функциональностью. Однако, хотелось бы узнать, какие лимиты установлены на количество символов или запросов для каждого типа задач? Я хочу понять, как оптимально использовать сервис в рамках этих ограничений."
59,"Добрый день, я оплатил подписку, но не могу получить доступ к необходимым мне функциям. Я хочу отказаться от подписки и вернуть деньги."
61,"Добрый день! Я преподаватель и ищу инструмент, который поможет моим студентам автоматически проверять тексты на орфографические и грамматические ошибки. Подскажите, есть ли у вашего сервиса функция проверки текста на ошибки и предоставления рекомендаций по исправлению?"
78,"Привет, у вас тут полный бардак! Функции, которые должны работать, вообще не функционируют. Я потратил кучу времени, пытаясь разобраться, но безуспешно. Когда вы собираетесь исправить все эти глюки и баги?"
83,"Добрый день, ваше обновление поломало функционал! То, что раньше работало отлично, теперь вызывает ошибки и некорректное отображение. Когда вы исправите этот баг и вернете все в порядок?"
94,Какие функции имеет бесплатная версия?
102,"Привет! Мне интересно, можно ли использовать ваш сервис для автоматического создания заголовков статей или новостей? Я работаю в издательской компании и подобная функция помогла бы нам значительно сэкономить время и улучшить эффективность работы."
121,"Здравствуйте, при использовании определенной функции сервис выдает ошибку ""Не удалось сохранить изменения"". Это мешает мне выполнить необходимые действия. Необходимо исправить этот баг."
128,"Доброго времени суток! Я занимаюсь исследовательской работой и нуждаюсь в инструменте, который поможет мне категоризировать большие объемы текстовой информации по ключевым темам. Есть ли у вашего сервиса функция автоматической классификации текстов?"
137,"Приветствую! Я воспользовался вашим сервисом, но он не отвечает моим ожиданиям. Функционал неудобный, интерфейс запутанный, а скорость работы ужасная. Я рассчитывал на качественный продукт, но получил полный провал. Разочарован!"
139,"Здравствуйте! Подскажите, у вас есть функция проверки текста на орфографические ошибки и предоставления рекомендаций по исправлению?"
159,Приветствую! Есть ли у вашего сервиса функция автоматической классификации текстов по ключевым темам?
