number,message
1,"Здравствуйте! Я заметил, что ваш сервис предоставляет возможность суммаризации текстов. Однако, интересует меня, можно ли также применять его для сжатия аудиозаписей или видеофайлов? Мне было бы очень удобно иметь такую функциональность."
2,Добрый день! Можно ли использовать ваш сервис для автоматического создания заголовков статей или новостей?
6,"добрый день, я не доволен качеством вашего сервиса и хотел бы отказаться от подписки. как вернуть деньги?"
7,"А что значат лимиты сервиса? Почему мне доступен только миллион символов? Или это миллион символов в месяц? Честно говоря, немного не понял."
13,"здарова! я тут пользуюсь вашим сервисом, но у меня проблемка. каковы лимиты по символам? мне надо больше писать!"
14,"Здравствуйте, сайт работает некорректно, некоторые функции не открываются. Прошу исправить проблему."
15,"Добрый день, я зарегистрировался на вашем сайте, но не получил письмо с подтверждением регистрации и временным паролем. Я не могу начать пользоваться сервисом. Что делать в такой ситуации?"
16,"Здравствуйте, у меня возникла проблема с отображением текста на вашем сервисе. Некоторые символы исказились и выглядят неправильно. Пожалуйста, посмотрите, что происходит, и исправьте это."
19,"здравствуйте! есть ли возможность оплатить сервис через банковское приложение, используя QR-код или номер счета?"
21,"Здравствуйте, у меня возникла проблема с вашим сервисом, и я просто не понимаю, как вы могли такую хрень выпустить. Какой толк от подписки, если ничего не работает? Очень разочарован!"
23,"Приветствую! Я заметил, что в последнее время сервис работает очень медленно, страницы загружаются с большой задержкой. Пожалуйста, улучшите производительность."
29,"Здравствуйте! Я хочу вам сообщить, что ваша система совершенно дебильная. Я делаю все по инструкции, но ничего не работает. Почему вы не можете создать нормальный сервис?"
30,"Приветствую! Я недавно начал использовать ваш сервис и хотел бы узнать, есть ли у вас функция автоматического распознавания и извлечения ключевых фраз из текстовых документов? Мне это очень поможет в сокращении времени на анализ больших объемов информации."
31,"Здравствуйте, некоторые ссылки на вашем сайте не работают. Когда я нажимаю на них, происходит перенаправление на неправильную страницу. Необходимо исправить эту проблему."
32,"Здравствуйте! У меня есть опыт работы с размещением рекламы на YouTube, Instagram и ВКонтакте. Если вас интересует сотрудничество, я могу предоставить вам информацию о наших услугах."
37,"Здраствуйте, сайт не работает прошу исправить"
38,"Здравствуйте, пару дней назад приобрела подписку на ваш продукт, и сегодня несколько часов как ничего не работает. Я очень спешу, могли бы вы подсказать, через сколько примерно все заработает? Спасибо."
39,"Приветствую! Мы - команда маркетологов с опытом работы в сфере цифрового маркетинга. Мы готовы предложить вам услуги по созданию и оптимизации рекламных кампаний, включая контекстную рекламу, социальные медиа и поисковое продвижение. Если вы ищете надежного партнера для улучшения вашего маркетинга, дайте мне знать, чтобы мы могли обсудить детали и предоставить вам решение, которое подойдет именно вам."
