number,message
4,"Добрый день, уже несколько раз пробовал сбросить пароль, но письма с временным паролем не приходят на мою почту. Что делать? Очень нужно войти в свой аккаунт."
5,"Здравствуйте, я случайно оформил подписку, не полностью понимая ее условия. Я хотел бы отменить ее и получить возврат средств."
6,"добрый день, я не доволен качеством вашего сервиса и хотел бы отказаться от подписки. как вернуть деньги?"
8,"Здравствуйте, я хотел бы отказаться от подписки и получить возврат денег, так как услуга не соответствует моим ожиданиям."
9,"Добрый день, я оплатил подписку, но не могу войти в свой аккаунт. Пожалуйста, помогите решить эту проблему."
11,Как я могу отписаться от автопродления подписки?
12,"Приветствую! Мне не удается изменить пароль в своем аккаунте. Каждый раз, когда пытаюсь сохранить новый пароль, появляется ошибка. Что происходит? Мне нужно обновить пароль по соображениям безопасности."
17,Как отписаться от автопродления подписки?
18,"Привет! Я забыл свой пароль и пытался восстановить его через отправку на почту, но не получил ни одного письма. У меня есть срочная необходимость в доступе к своему аккаунту. Пожалуйста, исправьте эту проблему."
20,"Привет, я изменил свое решение относительно подписки и хотел бы ее отменить. Как получить возврат денег?"
21,"Здравствуйте, у меня возникла проблема с вашим сервисом, и я просто не понимаю, как вы могли такую хрень выпустить. Какой толк от подписки, если ничего не работает? Очень разочарован!"
22,"Здравствуйте, я не осознавал, что подписка будет продлеваться автоматически. Могу ли я получить свои деньги назад?"
25,"Хотелось бы попросить выйти со всех авторизированных устройств, тк забыла выйти не на своем компьютере. Чтобы другие люди не пользовались моей подпиской."
27,"Оплатила подписку, не заходит на аккаунт"
28,"Привет, я случайно заблокировал свой аккаунт, пытаясь ввести неправильный пароль несколько раз. Не могли бы вы разблокировать его и отправить мне новый пароль? Извините за доставленные неудобства."
38,"Здравствуйте, пару дней назад приобрела подписку на ваш продукт, и сегодня несколько часов как ничего не работает. Я очень спешу, могли бы вы подсказать, через сколько примерно все заработает? Спасибо."
49,"Добрый день! Как я могу отписаться от автопродления подписки? Хочу убедиться, что мне не будут автоматически списываться деньги после окончания текущего периода подписки."
51,"Здравствуйте, я хотел бы отключить подписку. Пожалуйста, объясните мне, как это сделать."
53,"Здравствуйте, я хотел бы удалить свой аккаунт и все связанные с ним данные. Пожалуйста, предоставьте мне инструкции о том, как это сделать."
54,Как удалить аккаунт?
55,"Здравствуйте, при попытке смены пароля возникает сообщение об ошибке, и я не могу войти в свой аккаунт. Это создает серьезные проблемы с безопасностью. Прошу вас исправить эту ошибку как можно скорее."
56,"привет! я оплатила подписку, но не получила доступ к сервису. могли бы вы вернуть мои деньги?"
58,Приветствую! Я забыл свой логин и пароль от аккаунта. Можете ли вы помочь мне и восстановить доступ к моей учетной записи?
59,"Добрый день, я оплатил подписку, но не могу получить доступ к необходимым мне функциям. Я хочу отказаться от подписки и вернуть деньги."
60,"Добрый день, как я могу выйти из своего аккаунта?"
64,"привет, я неудачно подписался на вашу услугу и не могу ее отменить. как получить деньги назад?"
66,"Приветствую, я не получаю достаточную пользу от вашей подписки и хотел бы ее отменить. Как я могу получить возврат денег?"
67,"Здравствуйте, сегодня были списаны деньги за подписку, но я больше не нуждаюсь в ней. Могу ли я получить возврат средств?"
68,"Здравствуйте, я случайно продлил подписку на ваш сервис. Могу ли я отменить ее и вернуть деньги?"
